,AGENCY,ADDRESS,CONTACT PERSON,FAX,TELEPHONE,SPECIALIZATION,WEBSITE,MOBILE,EMAIL,ABOUT
0,Oberoi Travels,"No.3 Krishnamurti Market, Behind Nigar Cinema ,Ambala Cantt,Haryana(133001)",Contact Person : Mr Balwinder Singh Oberoi.,Fax : .,Telephone : 0171 4001660.,"
",Website : .,Mobile : 9802350660.,Email : oberoitravels.nft@gmail.com.,"Description:												 
												"
1,,Travel Nation (ACT - 1153),,,,,,,,
2,,"No.125-A Staff & Lawrence Road, Opp.Main Bus StandNeo Holidays Pvt.Ltd. (ACT - 1152)",,,,,,,,
3,,"S 22, 2nd floor, Janta Market, ,Rajouri Garden,Delhi(110027)",,,,,,,,
4,,Travel Planet (ACT - 1151),,,,,,,,
5,,"H.No.149 Bhagat Ram Building, Behind Oil Mill, Near New Community Hall Rajokari ,New Delhi,Delhi(110038)",,,,,,,,
6,,Manka Holidays Pvt.Ltd. (ACT - 1150),,,,,,,,
7,,"G 21 Namdhari Chamber ,Karol Bagh,Delhi(110005)",,,,,,,,
8,,Travel Assistance (Allied - 207),,,,,,,,
9,,"73/5, VARUNA BRIDGE OPP: UP MOTORS, CANTT. VARANAS ,VARANASI,Uttar Pradesh()",,,,,,,,
10,,Vacation India (ACT - 650),,,,,,,,
11,,"Vacation House Plamoob P.O.Pattom ,Trivandrum,Kerala(695004)",,,,,,,,
12,,Trans Orient Holidays Pvt. Ltd (ACT - 325),,,,,,,,
13,,"TC 67/1171 (2),N.H Bypass Vazhamuttam, Pachalloore P.O, Kovalam ,Trivandrum,Kerala(695027)",,,,,,,,
14,,Great India Tour Company Pvt.Ltd. (ACT - 116),,,,,,,,
15,,"Ground floor, New Corporation Building Palayam ,Trivandrum,Kerala(695039)",,,,,,,,
16,,Airtravel Enterprises India Ltd. (ACT - 217),,,,,,,,
17,,"1st Floor New Corporation Building Palayam ,Trivandrum,,Kerala(695033)",,,,,,,,
18,,H & S Tours & Travels (ACT - 1125),,,,,,,,
19,,"Civil Station Road ,Pattambi,Kerala(679303)",,,,,,,,
20,,Southern Odyssey Pvt. Ltd. (ACT - 984),,,,,,,,
21,,"135 Priyadarshini Nagar, Paravattani ,Thrissur,Kerala(680005)",,,,,,,,
22,,UAE Exchange Travel Services (ACT - 732),,,,,,,,
23,,"4th floor, Habeeb Tower, Opposite Maharaja College Ground M G Road ,Kochi,Kerala(682011)",,,,,,,,
