,WEBSITE,PHONE,MOBILE,AGENCY,EMAIL,ADDRESS
0,http://tradekerala.in/4302/Alappuzha+Tour+Company/4,0477 2244828,,Alappuzha Tour Company,,Jetty Rd
1,http://tradekerala.in/4316/Aqua+Holiday/4,0477 2261861,,Aqua Holiday,,Jetty Rd
2,http://tradekerala.in/4449/Arabian+Travels/1,0470 2678014,,Arabian Travels,,Nishanth Building  695101
3,http://tradekerala.in/4455/Arabian+Travels/1,0470 2678014,,Arabian Travels,,Nishanth Building   695101
4,http://tradekerala.in/4458/Akbar+Travels/8,0480 2703712,,Akbar Travels,,Anamala JN
5,http://tradekerala.in/4954/A+%26+A+Travels/7,0484 2391047,,A & A Travels,,1007 Chittoor Rd Pachalam 682012
6,http://tradekerala.in/8721/A+%26+A+Travels/7,0484 2391047,,A & A Travels,,1007 Chittoor Rd Pachalam  682012
7,http://tradekerala.in/10176/A+%26+A+Travels/7,0484 2391047,,A & A Travels,,1007 Chittoor Rd Pachalam 682012
8,http://tradekerala.in/7436/A+B+C+International/7,0484 2368134  2353457,,A B C International,,Peringat Buildings Sreekandath Rd Ravipuram 682016
9,http://tradekerala.in/8407/A+K+Travels/7,0484 2330371,,A K Travels,,Palarivattom  682025
10,http://tradekerala.in/10172/A+K+Travels/7,0484 2330371,,A K Travels,,Palarivattom  682025
11,http://tradekerala.in/4953/A+One+Taxies/7,0484 2228760,,A One Taxies,,28  Amaravathy  682002
12,http://tradekerala.in/10170/A+T+S+Cars/7,0484 2304150  2302870,,A T S Cars,,No.29/1 H  Ats Building  SA Rd  Vythila 682019
13,http://tradekerala.in/8406/A+T+S+Tours+%26+Travels/7,0484 2391525,,A T S Tours & Travels,,Grand Tourist Home Gr Flr 1823 B 682018
14,http://tradekerala.in/10163/A+T+S+Tours+%26+Travels/7,0484 2391525,,A T S Tours & Travels,,Grand Tourist Home Gr Floor 1823 B  682018
15,http://tradekerala.in/10160/Adithya+Tours+%26+Travels/7,0484 2341328,,Adithya Tours & Travels,,35/ 1399 1 St Floor Chackungal Rd Palarivattom 682025
16,http://tradekerala.in/8404/Adithya+Tours+%26+Travels/7,0484 2341328,,Adithya Tours & Travels,,35/ 1399 1 St Floor Chackungal Rd Palarivattom 682025
17,http://tradekerala.in/4968/Air+Travel+Enterprises/7,0484 2369246,,Air Travel Enterprises,,1st Floor  Pithrusmarana  Sreekandath Rd  Ravipuram  682016
18,http://tradekerala.in/4969/Akbar+Travels+of+India/7,0484 2369786,,Akbar Travels of India,,5653 D  ?Valla Mattam Estate  ?M G Rd  Ravipuram  682015
19,http://tradekerala.in/4957/Al+++Hussam+India/7,0484 2531438,,Al   Hussam India,,No. 32 & 33  2nd Floor  Penta Tower  Kaloor  17
20,http://tradekerala.in/10184/Al+++Hussam+India/7,0484 2531438  2531517,,Al   Hussam India,,No. 32 & 33  2nd Floor  Penta Tower  Kaloor
21,http://tradekerala.in/4952/Al+Fahad+Tours+%26+Travels/7,0484 2394430,,Al Fahad Tours & Travels,,No.41/3737 C  2nd Floor  Syed Mohammed Complex 682001
22,http://tradekerala.in/7427/Al+Hind+Tours+%26+Travels+Pvt+Ltd/7,0484 2362124  2373970,,Al Hind Tours & Travels Pvt Ltd,,Mulloth Building 6834 M G Rd Ravipuram Jn 682016
23,http://tradekerala.in/7425/Al+Hussam+Travel+and+Tours+India+Pvt+Ltd/7,0484 2531438,,Al Hussam Travel and Tours India Pvt Ltd,,Penta Tower IInd Floor Opposite Bus Stand Kaloor 682017
24,http://tradekerala.in/4947/Al+Zarafa+Group/7,0484 4047800,,Al Zarafa Group,,Lake View Building 5122 B Church Landing Rd Pallimukku  Opposite Kasavu Kada 682016
25,http://tradekerala.in/7424/Amadeus+India+Pvt+Ltd/7,0484 2358870,,Amadeus India Pvt Ltd,,3rd Flr  Bab Chambers  Perumannur  682015
26,http://tradekerala.in/8724/Anjali+Travel+%26+Tour+Operators/7,0484 2668488,,Anjali Travel & Tour Operators,,Venkitaraman Road  Willingdon Island  3
27,http://tradekerala.in/8725/Arya+Travels/7,9447214226,,Arya Travels,,1st Floor  Sarada Bhavan Building  South Railway Station Rd  682019
28,http://tradekerala.in/7423/Athena+Travels+I+Pvt+Ltd/7,0484 2358723  3013014,,Athena Travels I Pvt Ltd,,3548 M G Rd Ravipuram 682016
29,http://tradekerala.in/11017/Aathish+International+Air+Travels/5,0481 2567766,,Aathish International Air Travels,,Cinema Masika Building  Azad Lane (Near Bharath Hospital) Thirunakkara
30,http://tradekerala.in/11310/Abdul+Rasheed/11,0495 262959,,Abdul Rasheed,,World Link  Mavoor Rd
31,http://tradekerala.in/11540/Abdul+Rasheed/11,0495 262959,,Abdul Rasheed,,World Link  Mavoor Rd
32,http://tradekerala.in/11731/Aeron+Tours+%26+Travels/1,0472 2840847,,Aeron Tours & Travels,,Nedumangadu  695541
33,http://tradekerala.in/12196/Akbar+Travels+of+India/9,0491  2538599,,Akbar Travels of India,,Near Town Bus stand
34,http://tradekerala.in/12195/Ashok+Travels+%26+Tours/9,0491  2534142,,Ashok Travels & Tours,,Kalmandapam
35,http://tradekerala.in/19166/A+B+Travels+%26+Tours/1,0471 2436757,,A B Travels & Tours,,Kesavadasapuram  695004
36,http://tradekerala.in/14520/A+B+Travels+%26+Tours/1,0471 2571414,,A B Travels & Tours,,Kesavadasapuram  695004
37,http://tradekerala.in/19164/A+K+Travels/1,0471 2326410,,A K Travels,,No.Tc 25/1152  Thampanoor  695001
38,http://tradekerala.in/14519/A+K+Travels/1,0471 2326410,,A K Travels,,No.Tc 25/1152  Thampanoor  695001
39,http://tradekerala.in/19167/Abhirami+Travels/1,0471 2571414,,Abhirami Travels,,Manakkadu  695009
40,http://tradekerala.in/19160/Abs+Entrprises/1,0471 2313389,,Abs Entrprises,,Kowdiar  695003
41,http://tradekerala.in/14513/Abs+Entrprises/1,0471 2313389,,Abs Entrprises,,Kowdiar  695003
42,http://tradekerala.in/19156/Aero+Travels+%26+Tours/1,0471 2479547,,Aero Travels & Tours,,No.Tc 39/2627  Popular Building  Attakulangara  Chalai 695036
43,http://tradekerala.in/14512/Aero+Travels+%26+Tours/1,0471 2479547,,Aero Travels & Tours,,No.Tc 39/2627  Popular Building  Attakulangara  Chalai  695036
44,http://tradekerala.in/19170/Aeroflot+%28Cozy+Travels%29/1,0471 2320975,,Aeroflot (Cozy Travels),,Althara Jn.  Vellayambalam  695010
45,http://tradekerala.in/15624/Aeroflot+%28Cozy+Travels%29/1,0471 2320975,,Aeroflot (Cozy Travels),,Althara Jn.  Vellayambalam  695010
46,http://tradekerala.in/19154/Aerostat+Travels/1,0471 2330012,,Aerostat Travels,,Housing Board Junction  MG Rd  695001
47,http://tradekerala.in/14486/Aerostat+Travels/1,0471 2330012,,Aerostat Travels,,Housing Board Jn  MG Rd  695001
48,http://tradekerala.in/19151/Air+Asia+Travel+%26+Trade+Links/1,0471 2324275,,Air Asia Travel & Trade Links,,Thampanoor  690001
49,http://tradekerala.in/13997/Air+Asia+Travel+%26+Trade+Links/1,0471 2324275,,Air Asia Travel & Trade Links,,Thampanoor  690001
50,http://tradekerala.in/19148/Air+Gate+Travel+%26+Tours/1,0471 3258410,,Air Gate Travel & Tours,,No.Tc 20/2868  Vijayasree Building  Thaliyal Rd  Karamana  695002
51,http://tradekerala.in/13962/Air+Gate+Travel+%26+Tours/1,0471 3258410,,Air Gate Travel & Tours,,No.Tc 20/2868  Vijayasree Building  Thaliyal Rd  Karamana  695002
52,http://tradekerala.in/19146/Air+Gate+Travel+Corporation/1,0471 2327278,,Air Gate Travel Corporation,,No.Tc 25/1823  SS Koil Rd  General Hospital Jn  695001
53,http://tradekerala.in/13621/Air+Gate+Travel+Corporation/1,0471 2327278,,Air Gate Travel Corporation,,No.Tc 25/1823  SS Koil Rd  General Hospital Jn  695001
54,http://tradekerala.in/13620/Air+Travel+Enterprises+Ltd/1,0471 2327212,,Air Travel Enterprises Ltd,,Palayam  695034
55,http://tradekerala.in/19145/Air+Travel+Enterprises+Ltd/1,0471 2327212,,Air Travel Enterprises Ltd,,Palayam  695034
56,http://tradekerala.in/2461/Akbar+Travels+of+India/1,0471 2722466,,Akbar Travels of India,,No.Tc 9/75 8 9  Benzy Towers  Sasthamangalam   695010
57,http://tradekerala.in/17259/Akbar+Travels+of+India/1,0471 2722466,,Akbar Travels of India,,No.Tc 9/75 8 9  Benzy Towers  Sasthamangalam  695010
58,http://tradekerala.in/19144/Al+Akbar+Enterprises+%26+Travel+Service/1,0471 2500322,,Al Akbar Enterprises & Travel Service,,Chakka  695024
59,http://tradekerala.in/13384/Al+Akbar+Enterprises+%26+Travel+Service/1,0471 2500322,,Al Akbar Enterprises & Travel Service,,Chakka  695024
60,http://tradekerala.in/19143/Al+Jvad+Tours+%26+Travels/1,0471 2451388,,Al Jvad Tours & Travels,,Pazhavangadi  695023
61,http://tradekerala.in/12775/Al+Jvad+Tours+%26+Travels/1,0471 2451388,,Al Jvad Tours & Travels,,Pazhavangadi  695023
62,http://tradekerala.in/19057/Alhind+Tours+%26+Travels+Pvt+Ltd/1,0471 3013333,,Alhind Tours & Travels Pvt Ltd,,Thiruvananthapuram Gpo  695001
63,http://tradekerala.in/12432/Alhind+Tours+%26+Travels+Pvt+Ltd/1,0471 3013333,,Alhind Tours & Travels Pvt Ltd,,Thiruvananthapuram Gpo  695001
64,http://tradekerala.in/19051/Alitaliya+Ajania+Travels/1,0471 2342513,,Alitaliya Ajania Travels,,Railway Colony  Karamana  695002
65,http://tradekerala.in/12180/Alitaliya+Ajania+Travels/1,0471 2342513,,Alitaliya Ajania Travels,,Railway Colony  Karamana  695002
66,http://tradekerala.in/19049/All+Ways+Tour+Operators/1,0471 2320609,,All Ways Tour Operators,,No.F 6  Trida Building  Mg Rd  Palayam  695034
67,http://tradekerala.in/12172/All+Ways+Tour+Operators/1,0471 2320609,,All Ways Tour Operators,,No.F 6  Trida Building  Mg Rd  Palayam  695034
68,http://tradekerala.in/19045/Alps+International+Travels/1,0471 2729896,,Alps International Travels,,No.9/751  Our Towers  Vellayambalam 695010
69,http://tradekerala.in/11863/Alps+International+Travels/1,0471 2729896,,Alps International Travels,,No.9/751  Our Towers  Vellayambalam  695010
70,http://tradekerala.in/2460/Altima+Tours+%26+Travels/1,0471 2471212,,Altima Tours & Travels,,Corporation Building  MG Rd  695001
71,http://tradekerala.in/17232/Altima+Tours+%26+Travels/1,0471 2471212,,Altima Tours & Travels,,Corporation Building  MG Rd  695001
72,http://tradekerala.in/19043/Amal+Air+Travels/1,0471 2467104,,Amal Air Travels,,No.28/243  Pettah  695024
73,http://tradekerala.in/11845/Amal+Air+Travels/1,0471 2467104,,Amal Air Travels,,No.28/243  Pettah  695024
74,http://tradekerala.in/19042/Ambadi+Travels/1,0471 6522767,,Ambadi Travels,,Meads Lane  Jubilee Hospital Rd  Palayam  695034
75,http://tradekerala.in/11825/Ambadi+Travels/1,0471 6522767,,Ambadi Travels,,Meads Lane  Jubilee Hospital Rd  Palayam  695034
76,http://tradekerala.in/19041/Amrithasree+Travels/1,0471 3012328,,Amrithasree Travels,,Opposite Yatrinivas  Thycaud  695014
77,http://tradekerala.in/11819/Amrithasree+Travels/1,0471 3012328,,Amrithasree Travels,,Opp Yatrinivas  Thycaud  695014
78,http://tradekerala.in/19039/Andrea+Tours+%26+Travels/1,0471 2500603,,Andrea Tours & Travels,,No.Tc32/1199  All Saints Junction  Chakka   695024
79,http://tradekerala.in/11784/Andrea+Tours+%26+Travels/1,0471 2500603,,Andrea Tours & Travels,,No.Tc32/1199  All Saints Jn  Chakka  695024
80,http://tradekerala.in/19038/Anjaneya+Tours+%26+Travels/1,0471 2550212,,Anjaneya Tours & Travels,,Kk Vihar  Chalakuzhy Rd  Op Nirmala Hospital  Tvm Medical College 695011
81,http://tradekerala.in/11782/Anjaneya+Tours+%26+Travels/1,0471 2550212,,Anjaneya Tours & Travels,,Kk Vihar  Chalakuzhy Rd  Op Nirmala Hospital  Tvm Medical College  695011
82,http://tradekerala.in/19032/Anna+Tours+%26+Travels/1,0471 2330454,,Anna Tours & Travels,,Panavila Jn  695001
83,http://tradekerala.in/11770/Anna+Tours+%26+Travels/1,0471 2330454,,Anna Tours & Travels,,Panavila Jn  695001
84,http://tradekerala.in/19031/Appolo+Tours+%26+Travels/1,0471 2418358,,Appolo Tours & Travels,,Kuthiravattom Rd  695001
